ano,texto_completo
2013,"  

Existe uma estrutura racional que é comum a todo ser humano.

  

Por causa dela há consentimento, há acordo.

  

Se não fosse ela, não haveria progresso, não haveria ciência.

  

Um fala, todos entendem.

Todos falam, um entende.

  

Mas até que ponto há vontade nessa estrutura? A estrutura não existe sem
vontade.

   

[![](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjqUenuxzD-P2kE8u2fZX7z-42H2nVhksPUOJjh5rqjJkFZBDxTGV7d7No7d0bqVg4ALF8mkK-
YFh5PHrp7pN9Q4Gyf9Et05YV9_9Qd2SsYIMaxnINb0fWu-6CibunGay-
hgGMY_ToRwbA/s1600/fato+e+valor.png)](https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjqUenuxzD-P2kE8u2fZX7z-42H2nVhksPUOJjh5rqjJkFZBDxTGV7d7No7d0bqVg4ALF8mkK-
YFh5PHrp7pN9Q4Gyf9Et05YV9_9Qd2SsYIMaxnINb0fWu-6CibunGay-
hgGMY_ToRwbA/s1600/fato+e+valor.png)

A possibilidade reside entre o ""deve ser"" e o ""é"" e é o que pode ser. Mas o
que pode ser?  
  
Só **conhecendo** o que é e **pensando** no que deve ser o que pode ser é
gerado.  
  
Mas temos que ter dois cuidados:  
  
  
1) Não tomar o que é pelo que deve ser e nem o que deve ser pelo que é.  

  
2) Saber de onde devemos partir: do fato (é) para o valor (deve ser) ou do
valor (deve ser) para o fato (é).

  

Precisamos compatibilizar o mundo em que vivemos com o que entendemos como o
mundo ideal ou como mundo idealizado por nós.

  

Essa possibilidade depende de fatos e de valores.

   

Liberdade, liberdade. Existe?  
  
Um ser livre, um pensamento livre. Existe? Existe alguma coisa capaz de ser
livre? Não existe. Mas, se existe, não sabemos.  
  
Porque a liberdade **DEVE** ser independente de relações. Portanto, se existe
a liberdade, ela é desconhecida, porque existe sozinha.  
  
Uma coisa só é livre se não tem causa. Não essa causa da natureza, de causa e
efeito, natureza mecânica. Uma coisa só é livre se é espontânea e **NADA** é
espontâneo. Tudo vem a reboque. Está tudo determinado.  
  
Não significa que não se pode agir, que não se pode pensar. Pode-se pensar e,
pensando, decidir. Mas não há liberdade.  
  
Não se trata de resguardar a luta, de abolir a consequência. A luta existe e
transforma. Evolui-se.  
  
Mas **NADA** é livre. Nada do que conhecemos, nada do que há no mundo
sensível, nada do que há por dentro dos seres, nenhuma estrutura é livre.  
  
Qualquer ação cujo gatilho não se conhece ou não se reconhece é uma ação que
se origina. Mas a origem exige alguma participação. E só existe liberdade com
participação.  
  
  

 Existe uma camada entre a gente e o mundo, entre cada homem entre si, entre
cada um de nós e o outro, dentro da sociedade.

  

Nossas relações sociais se dão perpassando essa camada de poeira. Essa camada
mistura sensações e percepções que são gerais, além do psicológico de cada um
que é modelado pelo meio social e cultural.

  

O que de nós, de nosso interior, está realmente em nossa comunicação e nas
relações? Existe uma essência interna de cada homem que é blindada e inibida
por essa camada e nada é certo nas relações sociais.

  

Existe um remédio que, tomada uma dose, nos permite olhar para o outro e para
o mundo de maneira límpida e clara? Existe um remédio para a camada de poeira
social?

  

Ou ela é necessária porque nós somos necessariamente carne e espírito? Carne =
existência (social, poeira) e espírito = essência.

 O padrão de consumo atingiu níveis estéticos, mesmo para a alimentação.

  
Para chegar ao supermercado, o caminho do legume e da verdura é longo e requer
uma complexa cadeia de valor: homens e máquinas, natureza e processos,
trabalho duro mas emprego, logística e luta.  
  
Comemos com os olhos, não somos mais animais. Somos exigentes e a exigência
submete e sobrecarrega a cadeia de valor citada.  
  
Nossa exigência seleciona os alimentos. E os desperdiça.  
  
Queremos conforto, mas precisamos de legumes e verduras. Belos!!!  
  
(estimulado pelo <http://www.cnu.org.br/>)

   

Estamos presos na história. Qualquer entendimento atual, qualquer prática
humana se dá no tempo.  
  
Existe uma controvérsia se o homem escreve e transforma a história ou se a
história molda o homem.  
  
Independentemente, vis-à-vis somos fruto. A raiz de nossa atualidade está
encravada nas culturas passadas. Despreza-se a idade média, não se despreza o
que somos tendo passado pela idade média: mil anos...  
  
Não há pensamento novo, há evolução.  
  
Nada se muda em um estalo, temos que construir a história que continua.  
  

   

Essa reflexão não é muito filosófica, é mais psicológica ou psicossomática.

  

Existe um fenômeno que acomete o ser humano que se chama fase. Um determinado
período de tempo em que estamos assim ou assado. Um espaço temporal esquisito.

  

A gente não sabe de onde ou por quê vem. Mas ela chega, se encosta e tudo
muda.

  

Aquela rotina frutífera se compromete, parece que o ontem é melhor que hoje.
Parece que nada do que fazemos está de acordo com a ordem natural das coisas.

  

Mas como toda fase, ela passa.

"
2014,"Arte popular é expressão viva da cultura. Arte popular manifesta o sentimento
que anda por aí a baila de qualquer processo formal.  
  
Arte popular é o sorriso autêntico, o olhar cativante e a boca cantante. O
gingado da arte popular vem do corpo treinado em vivência e sobrevivência. A
vestimenta da arte popular é colorida e denuncia o folclore arraigado no
sangue do povo que faz arte para a alegria.  
  
O traço da arte popular não é planejado, é emotivo. Porque a arte popular
louva a terra e perpetua a simplicidade. De tão ingênua e espontânea, a arte
popular se sofistica.  
  
A arte popular não quer os salões e museus, a arte popular quer a rua e a
praça: quer viver. Faz viver. A arte popular contagia, joga pra cima. A arte
popular espanta a tristeza porque traz a magia pura que enfeitiça os corações
e a alma.  
  
Arte popular: remédio que cura e expurga qualquer tentativa de se pensar em
algo irrelevante e sem sentido. Quando possível, viva a arte popular!  
  
\- Trio Virgulino passou no Metrópolis (TV Cultura, 17/12/2014) e plantou em
meu coração uma semente cheia de vida e cativante.

 A minha (sua, de cada um, nossa) condição de possibilidade de existência
pressupõe a existência do outro?

Ou: viveríamos, existiríamos e persistiríamos sozinhos, completamente isolados
e independentes de outrem?

  

Digo: o fato da racionalidade exige e determina NECESSARIAMENTE o eu
dependente de outro. Mas isso é algo que ainda precisamos comprovar.

  

Por hora, perguntamos: por que quando estamos felizes sorrimos?

  

